Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C9",0603,3,10uF,
"C10, C11, C6, C7, C8",0402,5,0.1uF,
"C3, C4, C5",0603,3,22uF,
D1,LED_KT-0805W,1,KT-0805W,
J1,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
J2,CONN-SMD_S2B-ZR-SM4A,1,S2B-ZR-SM4A-TF(LF)(SN),C265329
MK1,MIC_SPH0645LM4H-B,1,SPH0645LM4H-1-8,
"R1, R2",0402,2,5.1k,
"R10, R11",0402,2,470k,
"R12, R13, R9",0402,3,100k,
"R14, R6, R7",0402,3,10k,
R3,0402,1,13k,
R4,0402,1,620,
R8,0402,1,470,
S1,SW-SMD_MSK12C02G15-B,1,MSK12C02G15-B,C22435661
S2,SW_SKRPABE010,1,SKRPABE010,
S3,SW_B3U-1000P,1,B3U-1000P,
SP1,CONN-SMD_2P-P1.25-HC-1.25-2PWT,1,HC-1.25-2PWT,C2845379
"TH1, TH2",R0402,2,NCP15XH103F03RC,C77131
U1,IC_BQ25185DLHR,1,BQ25185DLHR,
U2,SOT95P285X140-5N,1,AP2112K-3.3TRG1,
U3,XCVR_ESP32-S3-MINI-1-N4R2,1,ESP32-S3-MINI-1-N4R2,
U4,BGA9N40P3X3_134X143X69N,1,MAX98357AEWL_T,
