Designator,Mid X,Mid Y,Rotation,Layer
C1,20.5,-24.275,90.0,top
C10,29.42,-14.290467,180.0,top
C11,29.222874,-15.770985,180.0,top
C2,14.250299,-19.5,180.0,top
C3,21.225,-19.775,90.0,top
C4,22.744422,-19.775,90.0,top
C5,26.638205,-22.567899,90.0,top
C6,43.502097,-12.975287,0.0,top
C7,46.16482,-30.100682,0.0,top
C8,26.489665,-26.480713,180.0,top
C9,22.223588,-35.383019,180.0,top
D1,27.745,-39.5,180.0,top
J1,13.33,-30.825,270.0,top
J2,15.75,-45.68,0.0,top
MK1,26.1,-30.574,0.0,top
R1,20.01,-29.4,0.0,top
R10,15.51386,-23.209568,0.0,top
R11,15.977902,-21.644327,90.0,top
R12,27.486475,-19.005622,180.0,top
R13,27.49,-20.0,180.0,top
R14,27.470714,-17.961427,0.0,top
R2,20.0,-32.4,0.0,top
R3,17.303161,-23.781544,270.0,top
R4,18.290173,-23.783307,270.0,top
R6,43.340745,-30.089634,180.0,top
R7,32.740978,-30.482653,90.0,top
R8,27.5,-38.0,0.0,top
R9,18.248833,-16.7,0.0,top
S1,17.5,-14.85,0.0,top
S2,29.925,-32.575,270.0,top
S3,24.34897,-14.003006,180.0,top
SP1,23.311444,-47.183803,90.0,top
TH1,16.57,-39.5,180.0,top
TH2,25.179686,-17.500994,270.0,top
U1,18.5,-20.55,270.0,top
U2,24.05,-24.380897,270.0,top
U3,41.3,-21.5,270.0,top
U4,25.5,-35.4,90.0,top
